label,mean_signed_shift,std_shift,count
Events=ItemOutOfStock,-31.085896100427345,29.115121241620606,13
Events=ReorderItem,-22.66218410326087,18.041311924022327,23
Events=FailedDelivery,-20.272455512152778,26.679596103004073,16
Events=PackageDelivered,-16.103819878472223,19.05635329652951,40
Events=CreatePackage,-13.379601934523809,9.552261835441238,7
Events=ConfirmOrder,-12.619770650584792,5.675111149936893,19
Events=PlaceOrder,-7.947280505952381,2.9961981851012323,7
Items=i-887099,-5.962786458333333,0.0,1
Items=i-887042,5.81546875,0.0,1
Items=i-886861,5.560625,0.0,1
Items=i-887041,-4.497135416666667,0.0,1
Items=i-886910,-4.26859375,0.0,1
Items=i-886907,-4.267413194444444,0.0,1
Items=i-887094,3.59421875,0.0,1
Items=i-886855,3.4735243055555554,0.0,1
