trial_id,num_layers,hidden_channels,lr,val_mae_normalized
0,5,64,0.001,0.817227726982062
1,5,32,0.001,0.8164202827640004
2,4,24,0.01,0.8153178674827859
3,3,64,0.001,0.6951872551730238
4,4,32,0.01,0.8160501156393699
5,3,24,0.01,0.6639676948578195
7,5,8,0.001,0.8156404969361142
8,5,16,0.01,0.8152104155778404
9,5,48,0.01,0.8152599906008267
10,3,48,0.01,0.6703630668857709
11,5,64,0.01,0.815552950518522
14,5,64,0.001,0.8158306920357612
16,4,24,0.001,0.7114149051322208
19,5,24,0.001,0.7914366191227062
20,4,16,0.001,0.6952117115149684
21,5,48,0.001,0.8159239276652385
22,4,8,0.001,0.6706752187053041
23,3,24,0.001,0.7344174887856344
24,4,48,0.001,0.7267334718593861
25,3,48,0.001,0.694395679614283
26,3,16,0.001,0.6745149166366355
29,3,32,0.001,0.6671710715245273
31,4,32,0.001,0.7007108451840984
32,3,16,0.01,0.6471701085895935
35,3,8,0.001,0.6589278731174892
