model,database,task_id,hidden_channels,lr,num_layers,val_mae_normalized
Order Management / Orders → PayOrder,order_management,TimeFrom_Orders_to_PayOrder,256,0.001,,0.43002377618705073
Order Management / Orders → PayOrder,order_management,TimeFrom_Orders_to_PayOrder,32,0.001,,0.4512898740909433
Order Management / Orders → PayOrder,order_management,TimeFrom_Orders_to_PayOrder,48,0.001,,0.4361409825342958
Order Management / Orders → PayOrder,order_management,TimeFrom_Orders_to_PayOrder,48,0.01,,0.4878937475463396
Order Management / Orders → PayOrder,order_management,TimeFrom_Orders_to_PayOrder,128,0.01,,0.4732070209518556
Order Management / Orders → PayOrder,order_management,TimeFrom_Orders_to_PayOrder,24,0.001,,0.44876554223798937
Order Management / Orders → PayOrder,order_management,TimeFrom_Orders_to_PayOrder,16,0.001,,0.4334492341324847
Order Management / Orders → PayOrder,order_management,TimeFrom_Orders_to_PayOrder,256,0.001,,0.4244215020569422
Order Management / Orders → PayOrder,order_management,TimeFrom_Orders_to_PayOrder,64,0.001,,0.44697180806949577
Order Management / Orders → PayOrder,order_management,TimeFrom_Orders_to_PayOrder,16,0.01,,0.43739062050978345
Order Management / Orders → PayOrder,order_management,TimeFrom_Orders_to_PayOrder,8,0.001,,0.4314840198844992
Order Management / Orders → PayOrder,order_management,TimeFrom_Orders_to_PayOrder,24,0.01,,0.43483774748540693
Order Management / Orders → PayOrder,order_management,TimeFrom_Orders_to_PayOrder,128,0.001,,0.4473880595096978
Order Management / Orders → PayOrder,order_management,TimeFrom_Orders_to_PayOrder,256,0.001,,0.43002377618705073
Order Management / Orders → PayOrder,order_management,TimeFrom_Orders_to_PayOrder,8,0.01,,0.4273824920897843
Order Management / Orders → PackageDelivered,order_management,TimeFrom_Orders_to_PackageDelivered,256,0.001,,0.7628594424520926
Order Management / Orders → PackageDelivered,order_management,TimeFrom_Orders_to_PackageDelivered,32,0.001,,0.7375402423047731
