trial_id,num_layers,hidden_channels,lr,val_mae_normalized
0,5,64,0.001,0.7910690386110693
1,5,32,0.001,0.7909844487089628
2,4,24,0.01,0.7909957705686108
4,4,32,0.01,0.792472189184025
5,3,24,0.01,0.7910635913359829
7,5,8,0.001,0.7650821029530309
8,5,16,0.01,0.7921478801009583
10,3,48,0.01,0.7903874479383184
13,4,48,0.01,0.7914534720713379
15,5,16,0.001,0.6457967817621785
16,4,24,0.001,0.665344763222895
17,5,8,0.01,0.7920288507712324
20,4,16,0.001,0.6483633646051683
21,5,48,0.001,0.7911197441251635
23,3,24,0.001,0.6765903514314022
24,4,48,0.001,0.641273547939083
25,3,48,0.001,0.6664310976231522
26,3,16,0.001,0.6809629549549377
29,3,32,0.001,0.7097009513647473
31,4,32,0.001,0.6660185817689831
32,3,16,0.01,0.6419089367044262
33,4,64,0.01,0.7757185442720934
35,3,8,0.001,0.6855212769215289
