dataset,order_id,node_label,loo_signed_shift,shapley_value,loo_rank,shapley_rank
Order Management,1769,Events=ReorderItem,-15.711927083333334,-44.164310763888885,1,1
Order Management,1769,Events=ReorderItem,-14.006440972222222,-42.10114982638889,2,2
Order Management,1769,Events=ConfirmOrder,-9.706631944444444,-7.502698003472223,3,7
Order Management,1769,Customers=Celtica Green Farms Oy,-5.954965277777778,-7.919352256944444,4,6
Order Management,1769,Events=PackageDelivered,-5.041527777777778,-18.53028385416667,5,3
Order Management,1769,Events=ItemOutOfStock,-3.8946354166666666,-15.114871180555555,6,4
Order Management,1769,Events=PlaceOrder,-2.8747048611111112,-2.5077796875,7,8
Order Management,1769,Items=i-886864,1.2052777777777777,1.2641161458333332,8,9
Order Management,1769,Events=ItemOutOfStock,-1.1836458333333333,-11.913276475694444,9,5
Order Management,1769,Items=i-886866,0.8074652777777778,0.7365503472222222,10,10
Order Management,1771,Events=PackageDelivered,-75.16653645833334,-70.91486553819445,1,1
Order Management,1771,Events=ConfirmOrder,-6.804331597222222,-4.098273958333333,2,2
Order Management,1771,Events=PlaceOrder,-3.766319444444445,-3.0810145833333333,3,3
Order Management,1771,Items=i-886873,-2.329123263888889,-2.4160969618055557,4,4
Order Management,1771,Customers=AlpenTech Innovations AG,-0.8853385416666667,-0.9380927083333334,5,6
Order Management,1771,Events=CreatePackage,0.8438368055555555,-0.5478151909722222,6,7
Order Management,1771,Items=i-886875,0.8420833333333333,-0.1271009548611111,7,10
Order Management,1771,Items=i-886876,-0.6923871527777777,-1.2134010416666663,8,5
Order Management,1771,Events=SendPackage,-0.44703125,0.4512241319444444,9,8
Order Management,1771,Items=i-886874,0.4276388888888889,-0.3597107638888889,10,9
Order Management,1773,Events=ReorderItem,-47.862682291666665,-61.321451215277776,1,1
Order Management,1773,Events=ConfirmOrder,-10.488385416666668,-7.479980729166667,2,4
Order Management,1773,Events=PackageDelivered,-8.130138888888888,-11.129136371527778,3,3
Order Management,1773,Customers=Nordica Systems GmbH,4.710694444444444,7.373961631944445,4,5
Order Management,1773,Events=PlaceOrder,-3.9423958333333338,-2.7734149305555555,5,6
Order Management,1773,Events=ItemOutOfStock,-2.6197829861111113,-12.797116579861113,6,2
Order Management,1773,Items=i-886878,1.8279253472222223,2.51144140625,7,7
Order Management,1773,Items=i-886880,-0.7201215277777778,-0.98937265625,8,8
Order Management,1773,Items=i-886879,0.5817534722222222,0.5838701388888888,9,10
Order Management,1773,Events=PickItem,0.4586892361111111,0.7970760416666667,10,9
Order Management,1775,Events=ConfirmOrder,-7.619635416666667,-8.329653645833334,1,1
Order Management,1775,Events=PlaceOrder,-4.4146875,-4.244641927083333,2,2
Order Management,1775,Events=FailedDelivery,-2.5284548611111113,-2.367136284722222,3,4
Order Management,1775,Customers=Golden Fleece Textiles S.A.R.L.,-1.932604166666667,-2.550509895833333,4,3
Order Management,1775,Items=i-886897,0.89484375,0.6577769097222221,5,5
Order Management,1775,Items=i-886898,0.7243402777777778,0.3407123263888889,6,7
Order Management,1775,Items=i-886899,0.7234027777777777,0.3231393229166667,7,8
Order Management,1775,Items=i-886896,0.4303819444444444,0.5525230034722223,8,6
Order Management,1775,Events=PickItem,-0.3198090277777777,-0.2992973958333333,9,9
Order Management,1775,Items=i-886895,0.1906770833333333,0.0728341145833333,10,10
Order Management,1777,Events=PackageDelivered,-59.18671875,-53.1531734375,1,1
Order Management,1777,Events=ConfirmOrder,-7.454496527777778,-3.927897829861111,2,3
Order Management,1777,Events=PlaceOrder,-5.420850694444445,-4.353824565972222,3,2
Order Management,1777,Items=i-886910,-4.26859375,-3.410559114583333,4,5
Order Management,1777,Items=i-886907,-4.267413194444444,-3.499612760416667,5,4
Order Management,1777,Events=PickItem,-0.9378645833333332,-0.9260166666666666,6,10
Order Management,1777,Customers=Carpathian Financial Services plc,0.781015625,0.9511421875,7,9
Order Management,1777,Events=CreatePackage,0.7016319444444444,2.721504079861111,8,6
Order Management,1777,Events=PickItem,0.6930208333333333,1.6136073784722222,9,7
Order Management,1777,Items=i-886909,-0.4798871527777777,-1.003919270833333,10,8
Logistics,863,Events=RegisterCustomerOrder,-0.3515277777777778,-0.1805187499999999,1,2
Logistics,863,TransportDocument=td863,0.3010416666666666,0.2534309027777778,2,1
Logistics,863,Events=BringToLoadingBay,0.0998958333333333,0.0396600694444444,3,6
Logistics,863,Events=BookVehicles,-0.0953819444444444,-0.1051947916666666,4,4
Logistics,863,Events=CreateTransportDocument,0.0553472222222222,0.1387409722222222,5,3
Logistics,863,Events=LoadToVehicle,0.0020833333333333,0.00066875,6,7
Logistics,863,Events=BringToLoadingBay,0.0010069444444444,-0.0772732638888888,7,5
Logistics,863,Vehicle=vh190,0.0004166666666666,0.0003315972222222,8,8
Logistics,863,Container=cr2921,-0.0003472222222222,-0.0001034722222222,9,10
Logistics,863,Vehicle=vh187,0.0,0.0001538194444444,10,9
Logistics,864,Events=BringToLoadingBay,-118.7721875,-217.05052239583333,1,1
Logistics,864,Events=LoadToVehicle,-0.9327083333333334,-102.02315364583336,2,2
Logistics,864,Events=CreateTransportDocument,0.8978125,1.0674366319444444,3,5
Logistics,864,Events=RegisterCustomerOrder,0.8130902777777778,0.1306972222222222,4,8
Logistics,864,TransportDocument=td864,0.2668402777777778,0.3346222222222222,5,7
Logistics,864,Vehicle=vh189,0.1676388888888889,1.4298203125,6,4
Logistics,864,Events=BookVehicles,0.0134375,-0.8701137152777778,7,6
Logistics,864,Container=cr2879,0.0035763888888888,0.0390930555555555,8,9
Logistics,864,Events=OrderEmptyContainers,-0.0001388888888888,-1.5834352430555554,9,3
Logistics,864,HandlingUnit=hu15648,0.0,0.0,10,10
Logistics,867,TransportDocument=td867,0.1704513888888889,0.107003125,1,3
Logistics,867,Events=RegisterCustomerOrder,-0.1516319444444444,-0.1250204861111111,2,2
Logistics,867,Events=CreateTransportDocument,0.1160069444444444,0.09291875,3,4
Logistics,867,Events=BookVehicles,0.0822222222222222,-0.1454875,4,1
Logistics,867,Events=BringToLoadingBay,0.0103125,0.020740625,5,5
Logistics,867,Vehicle=vh190,-0.0102777777777777,-0.0069888888888888,6,6
Logistics,867,Events=LoadToVehicle,0.0003125,0.000440625,7,7
Logistics,867,Container=cr2920,-0.0001736111111111,-6.458333333333334e-05,8,8
Logistics,867,HandlingUnit=hu15680,0.0,0.0,9,9
Logistics,867,HandlingUnit=hu15681,0.0,0.0,9,9
Logistics,870,Events=BringToLoadingBay,-1.382638888888889,-1.4548579861111113,1,1
Logistics,870,Events=BringToLoadingBay,-1.0283680555555557,-0.5644826388888889,2,3
Logistics,870,Events=RegisterCustomerOrder,-0.4989930555555555,-0.453103125,3,4
Logistics,870,Events=CreateTransportDocument,0.3880555555555555,0.4078465277777777,4,5
Logistics,870,Events=BookVehicles,-0.0509722222222222,-0.0412069444444444,5,6
Logistics,870,TransportDocument=td870,-0.0244791666666666,-0.0212267361111111,6,7
Logistics,870,Events=LoadToVehicle,0.0049652777777777,0.0051524305555555,7,8
Logistics,870,Vehicle=vh190,-0.0029861111111111,-0.0031131944444444,8,9
Logistics,870,Container=cr2943,-0.0025694444444444,-0.0012864583333333,9,10
Logistics,870,Events=Depart,0.0015625,0.647354513888889,10,2
Logistics,874,Events=RegisterCustomerOrder,-0.3209027777777777,-0.3306822916666666,1,1
Logistics,874,Events=BringToLoadingBay,-0.3149305555555555,-0.3047121527777777,2,2
Logistics,874,Events=BookVehicles,-0.1834375,-0.3025263888888889,3,3
Logistics,874,TransportDocument=td874,0.0243402777777777,-0.0067600694444444,4,7
Logistics,874,Vehicle=vh191,0.0141666666666666,0.0231260416666666,5,4
Logistics,874,Events=CreateTransportDocument,0.0095833333333333,0.0212645833333333,6,5
