dataset,depth_bin,HGT,HomoGNN,Mean,GBT
Order Management / Orders → PayOrder,1-3,166.20587930707495,164.1660147441451,170.2124687821134,164.78562418528975
Order Management / Orders → PayOrder,4-6,163.1083586707674,152.7635192208341,157.94333535210623,166.70954917612275
Order Management / Orders → PayOrder,7-9,168.03166695893614,154.54859970804748,151.4115591461211,166.32748679409198
Order Management / Orders → PayOrder,10+,172.13794903071727,157.6844873933531,172.012379711774,178.39216051325866
Order Management / Orders → PackageDelivered,1-3,245.00153717957164,241.51534700870135,267.6631798531855,243.8648124089168
Order Management / Orders → PackageDelivered,4-6,200.91468188424705,199.01850577213096,262.27383227090706,227.3405868414065
Order Management / Orders → PackageDelivered,7-9,196.2875399903818,201.416044049452,277.3199892279934,254.7768670968877
Order Management / Orders → PackageDelivered,10+,150.04201316453756,155.47847700655402,207.50373358297205,189.62829076484536
Logistics / CustomerOrder → Depart,1-3,123.83093374855711,123.47675021424595,123.60494252557648,134.2891660809183
Logistics / CustomerOrder → Depart,4-6,125.4916082605126,123.49696760849078,123.30013939040212,133.4650111631374
Logistics / CustomerOrder → Depart,7-9,124.54376266135992,123.7642124759477,123.24848010430442,132.97284539369946
Logistics / CustomerOrder → Depart,10+,111.54522917307986,110.92953962114946,144.3514513237821,123.66557427132248
Logistics / CustomerOrder → LoadToVehicle,1-3,135.02333390532644,130.08671235663235,124.38516427040643,134.0068131365142
Logistics / CustomerOrder → LoadToVehicle,4-6,150.8525594106725,130.39698007608064,124.29625999717418,133.46252062409806
Logistics / CustomerOrder → LoadToVehicle,7-9,153.922264749222,129.51048853095858,124.260074476395,133.26371277257408
Logistics / CustomerOrder → LoadToVehicle,10+,137.5892499577564,122.86433728357262,143.15562069812188,125.68878145374762
